Original Sentence,Sentiment
交戟之卫士欲止不内，樊哙侧其盾以撞，卫士仆地，哙遂入，披帷西向立，瞋目视项王，头发上指，目眦尽裂。,0
项王按剑而跽曰：客何为者？,0
张良曰：沛公之参乘樊哙者也。,1
项王曰：壮士！,2
赐之卮酒。,2
则与斗卮酒。,1
哙拜谢，起，立而饮之。,2
项王曰：赐之彘肩。,2
则与一生彘肩。,1
樊哙覆其盾于地，加彘肩上，拔剑切而啖之。,1
项王曰：壮士！,2
能复饮乎？,1
樊哙曰：臣死且不避，卮酒安足辞！,2
夫秦王有虎狼之心，杀人如不能举，刑人如恐不胜，天下皆叛之。,0
怀王与诸将约曰‘先破秦入咸阳者王之’。,1
今沛公先破秦入咸阳，豪毛不敢有所近，封闭宫室，还军霸上，以待大王来。,1
故遣将守关者，备他盗出入与非常也。,1
劳苦而功高如此，未有封侯之赏，而听细说，欲诛有功之人。,0
此亡秦之续耳，窃为大王不取也。,0
项王未有以应，曰：坐。,0
樊哙从良坐。,1
坐须臾，沛公起如厕，因招樊哙出。,1
沛公已出，项王使都尉陈平召沛公。,1
沛公曰：今者出，未辞也，为之奈何？,0
樊哙曰：大行不顾细谨，大礼不辞小让。,1
如今人方为刀俎，我为鱼肉，何辞为？,0
于是遂去。,0
乃令张良留谢。,2
良问曰：大王来何操？,1
曰：我持白璧一双，欲献项王，玉斗一双，欲与亚父，会其怒，不敢献。,0
公为我献之。,1
张良曰：谨诺。,1
当是时，项王军在鸿门下，沛公军在霸上，相去四十里。,1
沛公则置车骑，脱身独骑，与樊哙、夏侯婴、靳强、纪信等四人持剑盾步走，从郦山下，道芷阳间行。,1
沛公谓张良曰：从此道至吾军，不过二十里耳。,1
度我至军中，公乃入。,1
沛公已去，间至军中，张良入谢，曰：沛公不胜杯杓，不能辞。,0
谨使臣良奉白璧一双，再拜献大王足下；玉斗一双，再拜奉大将军足下。,2
项王曰：沛公安在？,0
良曰：闻大王有意督过之，脱身独去，已至军矣。,0
项王则受璧，置之坐上。,1
亚父受玉斗，置之地，拔剑撞而破之，曰：唉！,0
竖子不足与谋。,0
夺项王天下者，必沛公也，吾属今为之虏矣。,0
沛公至军，立诛杀曹无伤。,0
居数日，项羽引兵西屠咸阳，杀秦降王子婴，烧秦宫室，火三月不灭；收其货宝妇女而东。,0
人或说项王曰：关中阻山河四塞，地肥饶，可都以霸。,2
项王见秦宫室皆以烧残破，又心怀思欲东归，曰：富贵不归故乡，如衣绣夜行，谁知之者！,0
说者曰：人言楚人沐猴而冠耳，果然。,0
项王闻之，烹说者。,0
项王使人致命怀王。,1
怀王曰：如约。,1
乃尊怀王为义帝。,1
项王欲自王，先王诸将相。,1
谓曰：天下初发难时，假立诸侯后以伐秦。,1
然身被坚执锐首事，暴露于野三年，灭秦定天下者，皆将相诸君与籍之力也。,2
义帝虽无功，故当分其地而王之。,1
诸将皆曰：善。,2
乃分天下，立诸将为侯王。,1
项王、范增疑沛公之有天下，业已讲解，又恶负约，恐诸侯叛之，乃阴谋曰：巴、蜀道险，秦之迁人皆居蜀。,0
乃曰：巴、蜀亦关中地也。,1
故立沛公为汉王，王巴、蜀、汉中，都南郑。,1
而三分关中，王秦降将以距塞汉王。,1
项王乃立章邯为雍王，王咸阳以西，都废丘。,1
长史欣者，故为栎阳狱掾，尝有德于项梁；都尉董翳者，本劝章邯降楚。,1
故立司马欣为塞王，王咸阳以东至河，都栎阳；立董翳为翟王，王上郡，都高奴。,1
徙魏王豹为西魏王，王河东，都平阳。,1
瑕丘申阳者，张耳嬖臣也，先下河南，迎楚河上，故立申阳为河南王，都雒阳。,1
韩王成因故都，都阳翟。,1
赵将司马卬定河内，数有功，故立卬为殷王，王河内，都朝歌。,1
徙赵王歇为代王。,1
赵相张耳素贤，又从入关，故立耳为常山王，王赵地，都襄国。,1
当阳君黥布为楚将，常冠军，故立布为九江王，都六。,1
鄱君吴芮率百越佐诸侯，又从入关，故立芮为衡山王，都邾。,1
义帝柱国共敖将兵击南郡，功多，因立敖为临江王，都江陵。,1
徙燕王韩广为辽东王。,1
燕将臧荼从楚救赵，因从入关，故立荼为燕王，都蓟。,1
徙齐王田市为胶东王。,1
齐将田都从共救赵，因从入关，故立都为齐王，都临菑。,1
故秦所灭齐王建孙田安，项羽方渡河救赵，田安下济北数城，引其兵降项羽，故立安为济北王，都博阳。,1
田荣者，数负项梁，又不肯将兵从楚击秦，以故不封。,1
成安君陈余弃将印去，不从入关，然素闻其贤，有功于赵，闻其在南皮，故因环封三县。,2
番君将梅鋗功多，故封十万户侯。,1
项王自立为西楚霸王，王九郡，都彭城。,1
汉之元年四月，诸侯罢戏下，各就国。,0
项王出之国，使人徙义帝，曰：古之帝者地方千里，必居上游。,1
乃使使徙义帝长沙郴县。,1
趣义帝行，其群臣稍稍背叛之，乃阴令衡山、临江王击杀之江中。,0
韩王成无军功，项王不使之国，与俱至彭城，废以为侯，已又杀之。,0
臧荼之国，因逐韩广之辽东，广弗听，荼击杀广无终，并王其地。,0
田荣闻项羽徙齐王市胶东，而立齐将田都为齐王，乃大怒，不肯遣齐王之胶东，因以齐反，迎击田都。,0
田都走楚。,0
齐王市畏项王，乃亡之胶东就国。,0
田荣怒，追击杀之即墨。,0
荣因自立为齐王，而西击杀济北王田安，并王三齐。,1
荣与彭越将军印，令反梁地。,1
陈余阴使张同、夏说说齐王田荣曰：项羽为天下宰，不平。,0
今尽王故王于丑地，而王其群臣诸将善地。,0
逐其故主，赵王乃北居代，余以为不可。,1
闻大王起兵，且不听不义，愿大王资余兵，请以击常山，以复赵王，请以国为扞蔽。,1
齐王许之，因遣兵之赵。,1
陈余悉发三县兵，与齐并力击常山，大破之。,1
张耳走归汉。,0
陈余迎故赵王歇于代，反之赵。,1
赵王因立陈余为代王。,1
是时，汉还定三秦。,1
项羽闻汉王皆已并关中，且东，齐、赵叛之，大怒。,0
乃以故吴令郑昌为韩王，以距汉。,1
令萧公角等击彭越。,1
彭越败萧公角等。,1
汉使张良徇韩，乃遗项王书曰：汉王失职，欲得关中，如约即止，不敢东。,0
又以齐、梁反书遗项王曰：齐欲与赵并灭楚。,0
楚以此故无西意，而北击齐。,1
征兵九江王布。,1
布称疾不往，使将将数千人行。,1
项王由此怨布也。,0
汉之二年冬，项羽遂北至城阳，田荣亦将兵会战。,1
田荣不胜，走至平原，平原民杀之。,0
遂北烧夷齐城郭室屋，皆坑田荣降卒，系虏其老弱妇女。,0
徇齐至北海，多所残灭。,0
齐人相聚而叛之。,0
于是田荣弟田横收齐亡卒得数万人，反城阳。,0
项王因留，连战未能下。,0
春，汉王部五诸侯兵，凡五十六万人，东伐楚。,1
项王闻之，即令诸将击齐，而自以精兵三万人南从鲁出胡陵。,1
四月，汉皆已入彭城，收其货宝美人，日置酒高会。,1
项王乃西从萧，晨击汉军而东，至彭城，日中，大破汉军。,1
汉军皆走，相随入谷、泗水，杀汉卒十余万人。,1
汉卒皆南走山，楚又追击至灵壁东睢水上。,0
汉军却，为楚所挤，多杀，汉卒十余万人皆入睢水，睢水为之不流。,0
围汉王三匝。,1
于是大风从西北而起，折木发屋，扬沙石，窈冥昼晦，逢迎楚军。,0
楚军大乱，坏散，而汉王乃得与数十骑遁去。,0
欲过沛，收家室而西；楚亦使人追之沛，取汉王家。,0
家皆亡，不与汉王相见。,0
汉王道逢得孝惠、鲁元，乃载行。,1
楚骑追汉王，汉王急，推堕孝惠、鲁元车下，滕公常下收载之。,0
如是者三。,1
曰：虽急，不可以驱！,0
奈何弃之！,0
于是遂得脱。,1
求太公、吕后不相遇。,0
审食其从太公、吕后间行，求汉王，反遇楚军。,0
楚军遂与归，报项王，项王常置军中。,1
是时吕后兄周吕侯为汉将兵居下邑，汉王间往从之，稍稍收其士卒。,1
至荥阳，诸败军皆会，萧何亦发关中老弱未傅悉诣荥阳，复大振。,1
楚起于彭城，常乘胜逐北，与汉战荥阳南京、索间，汉败楚，楚以故不能过荥阳而西。,1
项王之救彭城，追汉王至荥阳，田横亦得收齐，立田荣子广为齐王。,1
汉王之败彭城，诸侯皆复与楚而背汉。,0
汉军荥阳，筑甬道属之河，以取敖仓粟。,1
汉之三年，项王数侵夺汉甬道，汉王食乏，恐，请和，割荥阳以西为汉。,0
项王欲听之。,1
历阳侯范增曰：汉易与耳，今释弗取，后必悔之。,0
项王乃与范增急围荥阳。,1
汉王患之，乃用陈平计间项王。,0
项王使者来，为太牢具，举欲进之。,2
见使者，详惊愕曰：吾以为亚父使者，乃反项王使者。,0
更持去，以恶食食项王使者。,0
使者归报项王，项王乃疑范增与汉有私，稍夺之权。,0
范增大怒，曰：天下事大定矣，君王自为之。,0
愿赐骸骨归卒伍。,1
项王许之。,1
行未至彭城，疽发背而死。,0
汉将纪信说汉王曰：事已急矣，请为王诳楚为王，王可以间出。,0
于是汉王夜出女子荥阳东门被甲二千人，楚兵四面击之。,1
纪信乘黄屋车，傅左纛，曰：城中食尽，汉王降。,0
楚军皆呼万岁。,2
汉王亦与数十骑从城西门出，走成皋。,2
项王见纪信，问：汉王安在？,0
信曰：汉王已出矣。,1
项王烧杀纪信。,0
汉王使御史大夫周苛、枞公、魏豹守荥阳。,1
周苛、枞公谋曰：反国之王，难与守城。,0
乃共杀魏豹。,0
楚下荥阳城，生得周苛。,1
项王谓周苛曰：为我将，我以公为上将军，封三万户。,2
周苛骂曰：若不趣降汉，汉今虏若，若非汉敌也。,0
项王怒，烹周苛，并杀枞公。,0
汉王之出荥阳，南走宛、叶，得九江王布，行收兵，复入保成皋。,0
汉之四年，项王进兵围成皋。,1
汉王逃，独与滕公出成皋北门，渡河走修武，从张耳、韩信军。,0
诸将稍稍得出成皋，从汉王。,0
楚遂拔成皋，欲西。,1
汉使兵距之巩，令其不得西。,0
是时，彭越渡河击楚东阿，杀楚将军薛公。,0
项王乃自东击彭越。,1
汉王得淮阴侯兵，欲渡河南。,0
郑忠说汉王，乃止壁河内。,0
使刘贾将兵佐彭越，烧楚积聚。,1
项王东击破之，走彭越。,0
汉王则引兵渡河，复取成皋。军广武，就敖仓食。,1
项王已定东海来，西，与汉俱临广武而军，相守数月。,1
当此时，彭越数反梁地，绝楚粮食，项王患之。,0
为高俎，置太公其上，告汉王曰：今不急下，吾烹太公。,0
汉王曰：吾与项羽俱北面受命怀王，曰‘约为兄弟’，吾翁即若翁，必欲烹而翁，则幸分我一杯羹。,0
项王怒，欲杀之。,0
项伯曰：天下事未可知，且为天下者不顾家，虽杀之无益，只益祸耳。,0
项王从之。,1
楚汉久相持未决，丁壮苦军旅，老弱罢转漕。,0
项王谓汉王曰：天下匈匈数岁者，徒以吾两人耳，愿与汉王挑战决雌雄，毋徒苦天下之民父子为也。,0
汉王笑谢曰：吾宁斗智，不能斗力。,2
项王令壮士出挑战。,1
汉有善骑射者楼烦，楚挑战三合，楼烦辄射杀之。,0
项王大怒，乃自被甲持戟挑战。,0
楼烦欲射之，项王瞋目叱之，楼烦目不敢视，手不敢发，遂走还入壁，不敢复出。,0
汉王使人间问之，乃项王也。,1
汉王大惊。,1
于是项王乃即汉王相与临广武间而语。,1
汉王数之，项王怒，欲一战。,0
汉王不听，项王伏弩射中汉王。,0
汉王伤，走入成皋。,0
项王闻淮阴侯已举河北，破齐、赵，且欲击楚，乃使龙且往击之。,1
淮阴侯与战，骑将灌婴击之，大破楚军，杀龙且。,1
韩信因自立为齐王。,1
项王闻龙且军破，则恐，使盱台人武涉往说淮阴侯。,0
淮阴侯弗听。,0
是时，彭越复反，下梁地，绝楚粮。,1
项王乃谓海春侯大司马曹咎等曰：谨守成皋，则汉欲挑战，慎勿与战，毋令得东而已。,1
我十五日必诛彭越，定梁地，复从将军。,1
乃东，行击陈留、外黄。,1
外黄不下。,0
数日，已降，项王怒，悉令男子年十五已上诣城东，欲坑之。,0
外黄令舍人儿年十三，往说项王曰：彭越强劫外黄，外黄恐，故且降，待大王。,0
大王至，又皆坑之，百姓岂有归心？,0
从此以东，梁地十余城皆恐，莫肯下矣。,0
项王然其言，乃赦外黄当坑者。,0
东至睢阳，闻之皆争下项王。,0
汉果数挑楚军战，楚军不出。,1
使人辱之，五六日，大司马怒，渡兵汜水。,0
士卒半渡，汉击之，大破楚军，尽得楚国货赂。,1
大司马咎、长史翳、塞王欣皆自刭汜水上。,0
大司马咎者，故蕲狱掾，长史欣亦故栎阳狱吏，两人尝有德于项梁，是以项王信任之。,1
当是时，项王在睢阳，闻海春侯军败，则引兵还。,1
汉军方围钟离眜于荥阳东，项王至，汉军畏楚，尽走险阻。,0
是时，汉兵盛食多，项王兵罢食绝。,0
汉遣陆贾说项王，请太公，项王弗听。,0
汉王复使侯公往说项王，项王乃与汉约，中分天下，割鸿沟以西者为汉，鸿沟而东者为楚。,1
项王许之，即归汉王父母妻子。,1
军皆呼万岁。,2
汉王乃封侯公为平国君。,1
匿弗肯复见。,0
曰：此天下辩士，所居倾国，故号为平国君。,2
项王已约，乃引兵解而东归。,1
汉欲西归，张良、陈平说曰：汉有天下太半，而诸侯皆附之。,1
楚兵罢食尽，此天亡楚之时也，不如因其机而遂取之。,1
今释弗击，此所谓‘养虎自遗患’也。,1
汉王听之。,1
汉五年，汉王乃追项王至阳夏南，止军，与淮阴侯韩信、建成侯彭越期会而击楚军。,1
至固陵，而信、越之兵不会。,1
楚击汉军，大破之。,1
汉王复入壁，深堑而自守。,0
谓张子房曰：诸侯不从约，为之奈何？,0
对曰：楚兵且破，信、越未有分地，其不至固宜。,1
君王能与共分天下，今可立致也。,1
即不能，事未可知也。,0
君王能自陈以东傅海，尽与韩信，睢阳以北至谷城，以与彭越，使各自为战，则楚易败也。,1
汉王曰：善。,2
于是乃发使者告韩信、彭越曰：并力击楚。,1
楚破，自陈以东傅海与齐王，睢阳以北至谷城与彭相国。,1
使者至，韩信、彭越皆报曰：请今进兵。,1
韩信乃从齐往，刘贾军从寿春并行，屠城父，至垓下。,1
大司马周殷叛楚，以舒屠六，举九江兵，随刘贾、彭越皆会垓下，诣项王。,1
项王军壁垓下，兵少食尽，汉军及诸侯兵围之数重。,0
夜闻汉军四面皆楚歌，项王乃大惊曰：汉皆已得楚乎？,0
是何楚人之多也！,0
项王则夜起，饮帐中。,1
有美人名虞，常幸从。,2
骏马名骓，常骑之。,2
于是项王乃悲歌慷慨，自为诗曰：力拔山兮气盖世，时不利兮骓不逝。,0
骓不逝兮可奈何，虞兮虞兮奈若何！,0
歌数阕，美人和之。,1
